title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
Gonosome-linked expression of PPP2R3B in cutaneous melanoma correlates with distant metastasis free survival,spatz,2011,study,PPP2R3B ,,,x,,"exits, loss of x, LOY, DMFS",,,,,"dna and rna extraction from fresh frozen primary melanomas, array-based comparative genomic hybridization, PCR",,,,,
TLR7 escapes X chromosome inactivation in immune cells,souyris,2018,experiment,TLR7,,,x,,"xci, exci, biallelism","primary B lymphocytes, monocytes, plasmacytoid","SLE, klinefelter",,,single-cell analysis ,,,,,
Gender Differential Transcriptome in Gastric and Thyroid Cancers,sousa,2020,study,sex-biased genes,,,x,,differentially expressed genes,,"cancer, gastric, thyroid",,,detailed characterization of transcriptomic differences between genders in normal and tumor tissues from stomach and thyroid using gtex and tcga data,,,,,
Sex Differences Associated with Primary Biliary Cirrhosis,smyk,2012,review,,,,x,,,,"primary biliary cirrhosis, autoimmune",,,,,,,,
Spinal muscular atrophy: Broad disease spectrum and sex-specific phenotypes,singh,2021,review,"SMN1, SMN2",,,x,,"deletions, mutation",,spinal muscular atrophy,,,,,,,,
Investigating nuclear organization of the inactive X in female lymphocytes,sierra,2020,study,,,,x,,xci,female lymphocytes,autoimmune disease,,"regulatory toles of chromatin organization, xi structure",novel allele-specific imaging system,,,,,
Gene essentiality in cancer cell lines is modified by the sex chromosomes,shohat,2021,study,,x,,x,,"differetially ecpressed genes, rate of somatic mutations, exci, cancert-testis antigens, y-linked paralogs",,cancer,,,genome-wide crispr-based screens of ~700 cancer cell lines,,,,,
Skewed escape from X-inactivation underlies female bias in Sjogren's syndrome,shaw,2021,study,,,,x,,"gene expression/regulation, xci, exci",,sjogren's syndrome,,,transcriptomic profiling of minor salivary gland-derived mesenchymal stromal cells from primary SS patients and control,,,,,
X chromosome factor Kdm6a enhances memory independent of its demethylase function in the aging XY male brain,shaw,2022,,KDM6A,,,x,,xci,,brain,,,,,,,,
DNA methylation signature in peripheral blood reveals distinct characteristics of human X chromosome numerical aberrations,sharma,2015,study,PAR2 loci,,,,,"abnormal sex chromosome numbers (turner, klinefelter), xci",,,,dna methylation,"genome-wide methylation analysis using MeDIP and illumina's infinium assay on individuals with four karyotypes, pyrosequencing",,,,,
Identification of developmental disorders including autism spectrum disorder using salivary miRNAs in children from Bosnia and Herzegovina,sehovic,2020,experiment,,,,,,"dysregulation of miRNAs, differential expression ",,autism spectrum disorder,,,"14 miRNAs were tested on saliva of children suspected to have ASD, qRT-PCR, logistix regrssion",,,,,trying to ID biomarkers
Human placental transcriptome shows sexually dimorphic gene expression and responsiveness to maternal dietary n-3 long-chain polyunsaturated fatty acid intervention during pregnancy,sedlmeier,2014,study,"CDK6, PCNA, TGFB1",,,,,"sex-specific gene expression in human term placenta, response to n-3 LCPUFA intervention, mRNA expression",,,,,"placental gene expression assessed in control and intervention group by DNA microarrays, biological pathway analyses, and RT-qPCR validation",,,,,
"X-chromosome dosage as a modulator of pluripotency, signalling and differentiation?",schulz,2017,review,x-linked genes associated with pluripotencym signalling and differentiation,,,in embryonic development,,xci,murine embryonic stem cells,,embryonic development,,,,,,,
Network analysis identifies sex‐specific gene expression changes in blood of amyotrophic lateral sclerosis patients,santiago,2021,study,,,,,,switch genes,,amyotrophic lateral sclerosis,,,coexpression networks implemented by the SWitch Miner software to ID switch genes assocated with drastic transcriptomic changes in the blood of ALS patients,,,,,
Mammalian X Chromosome Dosage Compensation: Perspectives From the Germ Line,sangrithi,2018,perspective,,,sex chromosome evolution,,,x dosage compensation,germ cells,,,,,,,,,
Quantitative analysis of gene expression on the inactive human X chromosome,san roman,2021,study,,,,,,xi gene expression,,,,,rnaseq in two cell types from individuals with one xa and 03 xis,,,,,
Cell-type and fetal-sex-specific targets of prenatal alcohol exposure in developing mouse cerebral cortex,salem,2021,study,"Bck11a, Htt, Ctnnb1, and other upstream regulators",,,,,"differentially expressed genes, neural loss of xci and correlated activation of autosomal genes, evidence for spliceosome dysfunction",murine fetal cerebral cortical cells,prenatal alcohol exposure,,,single-cell rnaseq on murine fetal cerebral cortical cells from six timed pregnancies,,,,,
"Nature, nurture, and development: From evangelism through science toward policy and practice",rutter,2002,article/summary,,,,,,,,,,,,,,,,science?
Sex differences in cancer mechanisms,rubin,2020,review,,,,x,,,,cancer,,,,,,,,
Sex-specific multi-level 3D genome dynamics in the mouse brain,rocks,2022,experiment,brain-disorder relevant genes,,,x,,sex-hormone and gene regulated plasticity,,,,"chromatin dynamics, chromatin structure differences",mapped the 3D genome of ventral hippocampal neurons across the oestrous cycle and by sex in mice,,,,,
RNA-seq Characterization of Sex-Differences in Adipose Tissue of Obesity Affected Patients: Computational Analysis of Differentially Expressed Coding and Non-Coding RNAs,rey,2021,experiment,,,,x,,"transcriptional differences, lncrna",subcutaneous adipose tissue,obesity,,,"rnaseq of five men and five women w obesity, computational analyses",,,,,
Female-biased expression of long non-coding RNAs in domains that escape X-inactivation in mouse,reinius ,2010,study,173 sex-biased genes,,,x,,"brain gene expression, exci",,,,,large-scale gene expression analysis of distinct brain regions in adult male and female mice,,,,,come back to this
Abundance of female-biased and paucity of male-biased somatically expressed genes on the mouse X-chromosome,reinius ,2012,study,"female-biased genes(?), tmem29, kdm5c, escape genes or genes conrolled by other sexually skewed regulatory mechanisms",,x,x,,"exci, expression differences",,,,,"large-scale sex-bias expression analysis of genes on chrX in six different somatic tissue in mice, RNA FISH analysis",,,,,
X chromosome escapee genes are involved in ischemic sexual dimorphism through epigenetic modification of inflammatory signals\,qi,2021,study,"KDM6A, KDM5C",,,,,"ovarian hormones, chrx dosage, exci, knockdown or over-expression, KDM-histone-irf pathway mediation of sex differences",,stroke,,chromatin immunoprecipitation,"rnaseq in flow-sorted microglia from the aged male and female WT mice subjected to middle cerebral artery occlusion, four core genotype mice, immunohistochemistry, western blot, RT-PCR",,,,,
The dynamic epigenetic regulation of the inactive X chromosome in healthy human B cells is dysregulated in lupus patients,pyfrom,2021,study,,,,x,,"x-linked genes, xci",human b cell subsets,sle,,,"rna fluoresence in situ hybridization and immunofluoresence to profile epigenetic features of xi at single cell level , single-cell and bulk-cell rnaseq datasets ",,,,,
Hypothesis: Gonadal temperature influences sex-specific imprinting,prontera,2014,hypothesis proposal,,,x,,,genomic imprinting ,,,,,,,,,,
Sex and gender differences in kidney cancer: Clinical and experimental evidence,perired,2021,review,,,,x,,,,kidney cancer,,,,,,,,
Sex Dimorphic Responses of the Hypothalamus-Pituitary-Thyroid Axis to Energy Demands and Stress,parra-montes de oca,2021,review,,,,x,,basal hypothalamus-pituitary-thyroid xis and response to metabolic changes,,,,,,,,,,
Why are women predisposed to autoimmune rheumatic diseases?,oliver,2009,review,,,,x,,,,autoimmune disease,,,,,,,,
The impact of sex differences on genomic research,oertelt-prigione,2020,review,,genomic research,,x,,,,,,,,,,,,
Expression of X chromosome-linked TLR4 signalling molecules in female versus male neonatal cord blood,o-driscoll,2016,study,"TL4 signaling genes (IKBKG/NMO, IRAK1, BTK)",,,x,,"TLR4 pathway, exci",,neonatal morbidity and mortality,embyrogenesis,,"quantify expression of x-linked TLR4 signalling intermediates in umbilical cord blood from term female v male neonates, rna isolation, cDNA synthesis, qRT-PCR",,,,,
Preferential X Chromosome Inactivation as a Mechanism to Explain Female Preponderance in Myasthenia Gravis,nicoli,2022,study,,,,x,,xci,,"mysenthia gravis, neuromuscular autoimmune disease",,,"xci analysis of blood samples of 284 women, human androgen receptor assay",,,,,not sure how they determined preferential xci in women when they don't test for men
When Does the Epigenome Become “Sexy”?,naumova,2018,article,,,,,,,,,,x,,,,,,
Large Sex Differences in Chicken Behavior and Brain Gene Expression Coincide with Few Differences in Promoter DNA-Methylation,natt,2014,study,,,,x,,"limited dosage compensation, chrZ gene expression bias, differentially expressed genes",,,,dna methylation,anaysis of genome wide sex differences in promoter DNA-methylation and gene expression of brain of three week old chickens,,,,,
Embryonic loss of human females with partial trisomy 19 identifies region critical for the single active X,migeon,2017,experiment,,,,,,xci,,,,,trying to identify key dosage sensitive XIST repressor using new cytogenic data,,,,,how xa is protected by silencing
Loss of DNMT1o Disrupts Imprinted X Chromosome Inactivation and Accentuates Placental Defects in Females,mcgraw,2013,,DNMT1o,,,,,loss of DNMT1o and disrupted genomic imprinting,,,mouse embryos,dna methylation patterns (hypomethylation),,,,,,
"Large Scale Gene Expression Meta-Analysis Reveals Tissue-Specific, Sex-Biased Gene Expression in Humans",mayne,2016,meta-analysis,,,,x,,gene expression and regulation,,,,,analysis of 22 publicly available human gene expression microarray data sets,,,,,
Atypical Xist RNA Localization to the Inactive X in a Female-biased Murine Model of Systemic Lupus Erythematosus,martin,2018,study,"TLR7, CXCR3",,,x,,"xci, altered localization of xist rna",b cells,sle,,,qpcr (expression levels),,,,,NZB/W F1 mice
Beyond sequence homology: Cellular biology limits the potential of XIST to act as a miRNA sponge,marshall,2019,experiment,xist,,,,,sponging of miRNAs (lncRNA-mediated gene regulation) by xist,,,,,"""We then used the basic sex-specific nature of XIST to compare the changes in miRNA-target gene relationships in endogenously high-XIST and low-XIST systems to discover a high-confidence set of only 13 miRNA-gene pairs""",,,x,,
Genetic background and sex determine citrulline and De novo arginine production in mice,marini,2016,experiment,OTC gene,,,x (some),,citriulline production and de novo arginine synthesis (in mice),ornithine transcarbamylase (enzyme),,,,"""To test the effect of sex and genetic background on the arginine metabolome and fluxome C57BL6/J (B) and SJL/J (S) mice were mated to produce a F1 BB, BS, SB and SS offspring. At 6-8 weeks of age and after a 3 h fast, male and female mice were infused for 4 h with tracers to determine citrulline, ornithine and arginine fluxes, as well as the De novo arginine synthesis rate and arginine disposal by arginase.""",,,,,
Abdullah al mamun,mamun,2019,experiment,"KDM6A, KDM5C",,,x,,"xci, expression level, exci",,ischemic stroke,,,"""Aged (18-22 months) WT C57BL/6 and FCG mice (XXF, XYF, XXM, and XYM) were subjected to a 60-minute middle cerebral artery occlusion (MCAO)"", initial screening of escapees using rnaseq, flow cytometry, pcr, ihc",,,,,
PRDM14 controls X-chromosomal and global epigenetic reprogramming of H3K27me3 in migrating mouse primordial germ cells,mallol,2019,,PRDM14,,,,,"chrX reactivation, global remodeling, upregulation",primordial germ cells,,,,,,,,,mice
Preliminary RNA-Seq Analysis of Long Non-Coding RNAs Expressed in Human Term Placenta,majewska,2018,study,,,,some sex bias,,lncRNA-regulated expression (in the human placenta),,,,,"rnaseq to profile, quantify, and classify lncRNAs, functional analysis",,,,,
Female chromosome X mosaicism is age-related and preferentially affects the inactivated X chromosome,machiela,2016,study,,,,,,chrX mosaicism (mosaic events),,,,,"analysis of SNP microarray data from 38k women from cancer GWAS, methylation analysis",,,,,
X-inactivation informs variance-based testing for X-linked association of a quantitative trait,ma,2015,method proposal,,,,,,xci,,,,,"propose tests of x-linked association that capitalize on variance heterogeneity caused by various factors, predominantly xci",,,,,
Sexually dimorphic gene expression emerges with embryonic genome activation and is dynamic throughout development,lowe,2015,study,,,,x,,sexually dimorphic transcriptome,ground-state pluripotent embryonic cell lines,,,,"generated 76 genome-wide RNAseq profiles from mouse eight-cell embryos, late gestation, and adult livers, RNAseq, ChIP-seq profiles",,,,,mouse development
Genome-Wide Sex and Gender Differences in Cancer,lopes-ramos,2020,review,,,,x,,sex-specific genetic and genome-wide influences in cancer,,cancer,,,,,,,,
Wild mice with different social network sizes vary in brain gene expression,lopes,2020,experiment,,,,,,,,animal fitness,,,"automated recording of social interactions of wild house mice outside of breeding size, rnaseq",,,,x,
X-chromosome genetic association test incorporating X-chromosome inactivation and imprinting effects,liu,2019,method proposal,,,,x,,"xci, genomic imprinting ",,complex diseases,,,propose novel association test simultaneously incorporating xci and impriinting effects based on cse-patient trios and control-parent trios.... etc etc,,,,,
Autism-like behaviors in male mice with a Pcdh19 deletion,lim,2019,experiment,PCDH19,,,,,,,"EFMR, autism-like phenotypes",,,knockout mouse model,,,,,
Histone demethylase kdm6a contributes to X chromosome dependent ischemia/reperfusion injury via epigenetic regulation,li,2015,experiment,KDM6A,,,x,,"sex chromosome differences, exci, xci",,"ischemia, reperifusion",,,"mouse models, rnaseq, mouse heart analysis",,,,,
Sex-dependent immune response and lethality of COVID-19,li,2021,review,,,,x,,,,COVID,,,,,,,,
Cellular and molecular characterization of multiplex autism in human induced pluripotent stem cell-derived neurons,lewis,2019,experiment,,,,,,,induced pluripotent stem cells,autism spectrum disorder,,,ipsc models,,,,,
"Sex differences in telomere length, lifespan, and embryonic dyskerin levels",lansdorp,2022,,DKC1,,,x,,,telomeres,,,,,,,,,
Physiological and molecular sex differences in human skeletal muscle in response to exercise training,landen,2021,,,,,x,,,,exercise physiology,,,,,,,,
Two novel PCDH19 mutations in Russian patients with epilepsy with intellectual disability limited to females: a case report,kozina,2020,case study,PCDH19,,,x,,"mutations, xci",,epilepsy with intellectual disability limited to females,,,,,,,,
Mosaicism for structural non-centromeric autosomal rearrangement in prenatal diagnoses: Evidence for sex-specific selection against chromosomal abnormalities,kovalena,2017,meta analysis,,,,,,chromosome rearrangement mosaicsm for unbalanced Rea,,,,,,,,x,,
Sex differences of inflammatory and immune response in pups of Wistar rats with SIRS,kosyreva,2020,experiment,,,,x,,"""LPS-induced SIRS sex difference""; hormones",,"inflammatory, immune response",,,,,,,,wistar rats
Sex Dimorphism in Pulmonary Hypertension: The Role of the Sex Chromosomes,kostyunina,2021,review,,,,x,,,,pulmonary hypertension,,,,,,,,
No evidence for preferential X-chromosome inactivation as the main cause of divergent phenotypes in sisters with X-linked hypohidrotic ectodermal dysplasia,korber,2021,study,,,,maybe,,,,x-linked hypohidrotic ectodermal dysplasia ,,,"study of six families, xi pattern determination in androgen receptor assay",,,,,
Inflammatory cytokine storms severity may be fueled by interactions of micronuclei and RNA viruses such as COVID-19 virus SARS-CoV-2. A hypothesis,kirsch-volders,2021,review,,,,,,rna virus,,"chromosomal instability, micronuclei, immune response",,,,,,x,,
Focal reactivation of some X-chromosome genes in PV and et clones,kim,2016,study ,,,,,,"xci, clonality",tumors,,,,developed assay,,,x,,come back to this
A systematic review of analytical methods used in genetic association analysis of the X-chromosome,keur,2022,review,,,,,,,,,,,,,,,,chrX association studies
The Molecular Basis of Depression: Implications of Sex-Related Differences in Epigenetic Regulation,kawatake-kuno,2021,review,,,,x,,,,major depressive disorder,,x,,,,,,
In Silico and In Vitro Analysis of lncRNA XIST Reveals a Panel of Possible Lung Cancer Regulators and a Five-Gene Diagnostic Signature,katopodis,2020,study,"XIST, hnRNPu, Bcl-2, BCA1",,,,,differential expression,"LNCrna, A549+H1975 cell lines","non-small cell lung cancer, cancer",,,RNAseq,,,,,
sEst: Accurate sex-estimation and abnormality detection in methylation microarray data,jung,2018,method proposal,,,,x,,DNA methylation,,,,,sEst (incorporates clustering analysis to infer sex and to detect sex chr abnormalities from DNA mthylation microarray data),,,,,
X-linked genes and risk of orofacial clefts: Evidence from two population-based studies in Scandinavia,jugessur,2012,"method poposal, study",,,,x,,,,orofacial clefts,,,,,,,,"""We added new functionalities in the HAPLIN statistical software to enable association analysis of X-linked markers and an exploration of various causal scenarios relevant to orofacial clefts."""
A lifelong duty: how Xist maintains the inactive X chromosome,jacobson,2022,review,,,,,,xci,,,,,,,,,,
Sex Differences in Immunity to Viral Infections,jacobsen,2021,,,,,x,,,,COVID,,,,,,,,
Sex differences are here to stay: Relevance to prenatal care,inkster,2021,review,,,,x,,,,perinatal complications,,,,,,,,
Identification of the Porcine XIST Gene and Its Differential CpG Methylation Status in Male and Female Pig Cells,hwang,2013,analysis,,porcine xist,,,,,,,,,"procine xist sequence using genbank, rnaseq data, and pcr",,,,,
The mouse DXZ4 homolog retains Ctcf binding and proximity to Pls3 despite substantial organizational differences compared to the primate macrosatellite,horakova,2012,study,DXZ4 (macrosatellite?),,maybe,,,,,,,,"expansion of comparative genome analysis (primates, mice)",,,,,monkey
Spreading is key to X inactivation,holding,2004,,,,,,,spreading gene regulatory complexes,,,,,,,,,,
Y chromosome is moving out of sex determination shadow,heydari,2022,review,,,,,,chrY activities,,male specific diseases,,,,,,,,
The Effects of Androgens on T Cells: Clues to Female Predominance in Autoimmune Liver Diseases?,henze,2020,review,,,,x,,androgens,,"immune response, autoimmune diseases",,,,,,,,
Sex differences in biological aging with a focus on human studies,hagg,2021,review,,,,x,,,,aging,,,,,,,,
LncRNA Xist may regulate Th17 cell differentiation through TDP43-IRF3 pathway in neuromyelitis optica spectrum disorders,guo,2022,"study, hypothesis proposal",TDP43,,,,,"""xist-related pathway""; xci",peripheral blood mononuclear cell,"neuromyelitis optica spectrum disorder, NMSOD",,,blood cell analysis?,,,,,
Characterizing 5-hydroxymethylcytosine in human prefrontal cortex at single base resolution,gross,2015,study,5hmC (family),,,,,,,,,,characterize 5hmC in the prefrontal cortices of 24 subjects; gene analysis,,,,,
Multilocus loss of DNA methylation in individuals with mutations in the histone H3 Lysine 4 Demethylase KDM5C,grafodatsakaya,2013,study,kdm5c,,,maybe,,,,intellectual disability,,epigenetic alterations,genome-wide approach to identidy significant DNA methyltion loss in the blood of males with intellectual disabilities and mutations ,,,,,
Sex differences in the late first trimester Mark human placenta transcriptome,gonzalez,2018,study,,x,,x,,exci,placental development; developmental differences (sex-specific variation),,,,rnaseq and data enrichment,,,,,
"Placental polyamine metabolism differs by fetal sex, fetal growth restriction, and preeclampsia",gong,2018,study,"spermine synthase, DiAcSpm",,,x,,exci,"primary trophoblast cells, ""male cells""","preeclampsia and fetal growth restriction, prenatal and infant deaths",,,pregnancy outcome preidction study,,,,,
SeXX Matters in Multiple Sclerosis,gilli,2020,review,,,,x,,,,multiple sclerosis,,,,,,,,
The Role of Epigenetics in Primary Biliary Cholangitis,gerussi,2022,review,,,,x,,,,primary biliary cholangitis,,,,,,,,
Contributions of Sex Chromosomes and Gonadal Hormones to the Male Bias in a Maternal Antibody-Induced Model of Autism Spectrum Disorder,gata-garcia,2021,experiment,Caspr2,,,x,,,,autism,,,foure-core-genotype mouse model,,,,,
Maternal Antibody and ASD: Clinical Data and Animal Models,gata-garcia,2019,review,,,,x,,,,"neuropsychiatric and neurodevelopmental disorders, immunity, autoimmune disorders",,,,,,,,
Novel method for analysis of allele specific expression in triploid Oryzias latipes reveals consistent pattern of allele exclusion,garcia,2014,experiment,,,,,,(assessment of) allele-specific expression; xci,,,,,allele-specific expression in the medaka fish model system; measured ASE in RNA-isolated from the livers of.....,,,,,
What’s Sex Got to Do With COVID-19? Gender-Based Differences in the Host Immune Response to Coronaviruses,gadi,2020,review,,,,x,,,,"covid, immune responses",,,,,,,,
Sex-specific microRNAs in neurovascular units in ischemic stroke,florjin,2021,review,,,,x,,sex-specific miRNA expression...,,stroke,,,,,,,,
Sex Differences in Early Embryogenesis: Inter-Chromosomal Regulation Sets the Stage for Sex-Biased Gene Networks: The dialogue between the sex chromosomes and autosomes imposes sexual identity soon after fertilization,engel,2018,hypothesis proposal,,,,,,,,,,,"""I propose that in male (XY) and female (XX) pre-implantation embryos sex chromosomes establish sexually dimorphic interactions with the autosomes, before overt differences become apparent and long before gonadogenesis""",,,,,
Sex-specific gene expression in preimplantation mouse embryos,eakin,2006,,,,,,,,,,,,mouse embryo?,,,x,,
Sexually divergent development of depression-related brain networks during healthy human adolescence,dorfschmidt,2022,study,,,,x,,,,"depression during adolesence, depression, mood disorders",,,fMRI data,,,,,
DNA methylation impact on Fabry disease,di risi,2021,review,,,,,,xci skew,,fabry disease,,dna methylation,,,,,,
"Sexual Dimorphism in the Age of Genomics: How, When, Where",deegan,2019,,,,,,,,,,sex chromosome involvement in development,,,,,,,
The status of dosage compensation in the multiple X chromosomes of the platypus,deakin,2008,study,,,,,,dosage compensation in animals (platypus),,,,,"x-dosage compensation in platypus, quantitative PCR, SNP analysis, RNA FISH",,,,,
An exclusively skewed distribution of pediatric immune reconstitution inflammatory syndrome toward the female sex is associated with advanced acquired immune deficiency syndrome,de souza campos fernandes,2019,study,,,,x,,"sex-specific causes and differences, NOT xci",,"HIV/AIDS, HIV, AIDS antiretroviral therapy, immune reconstitution inflammatory syndrome",,,clinical analysis of IRIS-related infectious events after ART,,,,,skewed distribution is associated with more advanced AIDS
Complexities of X chromosome inactivation status in female human induced pluripotent stem cells - A brief review and scientific update for autism research,dandulakis,2016,"review, method critique",,,,,,xci in cell models,"iPSCs, hiPSCs",,,,,,,,,
Variation in TAF1 expression in female carrier induced pluripotent stem cells and human brain ontogeny has implications for adult neostriatum vulnerability in X-linked Dystonia Parkinsonism,d'ignazio,2022,study,TAF1,,,,,,,x-linked dystonia-parkinsonism,,,resource for disease modeling; characterized 8 iPSCs lines...,,,,,
above is duplicated thrice in the search,,,,,,,,,,,,,,,,,,,
Analysis of expressed SNPs identifies variable extents of expression from the human inactive X chromosome,cotton,2013,analysis,,,,,,xci,,,,,determined xci status for 409 genes through allelic imbalance,,,,,
Epigenetic mechanisms regulating COVID-19 infection,chlamydas,2020,review,,,,,,,,COVID,,x,,,,,,
A haplotype-specific linkage disequilibrium pattern of monoamine oxidase A gene associated with regular smoking in women,chiang,2019,study,MAOA,,,sort of?,,,,cigarette smoking,,,"halotype-based association, SNP genotyping",,,,,
Sex differences in NK cells mediated by the X-linked epigenetic regulator UTX,cheng,2022,study,KDM6A (UTX),,,x,,,anti-viral natural killer cells,viral infection,,,"ATAC-seq, RNAseq",,,,,
Identification of Novel Markers of Mouse Fetal Ovary Development,cheng,2012,study,"identified certain protwins and non-coding genes (Lrrc34, AK015184)",,,,,,,fetal ovarian development,,,,,,,,
The acid-base balance and gender in inflammation: A mini-review,casimir,2018,review,,,,x,,,,"acidosis, inflammatry diseases",,,,,,,,
Gender differences and inflammation: An in vitro model of blood cells stimulation in prepubescent children,casimir,2010,experiment,,,,x,,,,inflammatory disease,,,"evaluated cyokines implicated in inflammatory processes, simulation by LPS..., overnight cultures",,,,,
When the Lyon(ized chromosome) roars: ongoing expression from an inactive X chromosome,carel,2017,review,,,,,,exci,,,,,,,,,,
NIMA-related kinase 1 (NEK1) regulates meiosis I spindle assembly by altering the balance between alpha-Adducin and Myosin X,brieno-enriquez,2017,study,"NEK1, ADD1, MYO10",,,,,"gene mutations, meiotic spindle formation",,"anemia, polycystic kidney, infertility",,,,,,,x,
Sex at the interface: the origin and impact of sex differences in the developing human placenta,braun,2022,review,,,,x,,,,"fetal growth, early human placenta",,,,,,,,
Abnormal X chromosome inactivation and sex-specific gene dysregulation after ablation of FBXL10,boulard,2016,experiment,"FBXL10, xist",,,,,selective deletion of a specific isoform,,,,,mutant mouse strains,,,,,factor required for xist?
Long non-coding RNA Xist contribution in systemic lupus erythematosus and rheumatoid arthritis,bost,2022,,xist,,,,,"lncRNA, xci",,sle,,,,,,,,
Sex differences in protein expression in the mouse brain and their perturbations in a model of Down syndrome,block,2015,experiment,DP10,,,x,,overexpression,,down syndrome,,,mouse model,,,,,
Sexual dimorphism of genes implicated in epigenetic regulation in early mouse development,bermejo-alvarez,2011,experiment,a bunch of them,,,,,xci mentioned,mouse blastocysts,,,"epigenetic marks, epigenetic regulation","""The aim of this study has been to compare the sex-related differences in the expression of nine genes implicated in epigenetic regulation in mouse blastocysts...""",,,,,
Recent advances in the bcr-abl negative chronic myeloproliferative diseases,bennett,2006,review,,,,,,,,chronic myeloproliferative disorders,,,,,,,,
Sex and Gender Disparities in Melanoma,bellenghi,2020,review,,,,x,,,,"cutaneous melanoma, cancer",,,,,,,,
Brain carnitine deficiency causes nonsyndromic autism with an extreme male bias: A hypothesis,beaudet,2017,study,SLC6A14,,,x,,"brain carnitine deficiency, exci",,autism,,,,,,,,really not rocking wiht this article
Trisomy X in a patient with childhood-onset systemic lupus erythematosus,barbosa,2020,case study,,,,x,,,,"childhood-onset SLE, sle",,,,,,,,
Derivation of consensus inactivation status for X-linked genes from genome-wide studies,balaton,2015,analysis,,x,,,,xci,,,,,aggregated three public studies which have examined xci,,,,,
Pseudoautosomal Region 1 Overdosage Affects the Global Transcriptome in iPSCs From Patients With Klinefelter Syndrome and High-Grade X Chromosome Aneuploidies,astro,2022,study,,,,,,"aneuploidy, dosage-dependent transcriptional dysregulation, xci, x-dosage sensitive autosomal transceiption factor",iPSCs,klinefelter,,,single-cell resolution,,,,,
Conceptual frameworks and mouse models for studying sex differences in physiology and disease: Why compensation changes the game,arnold,2014,method critique,,,,to be studied,,,,,,,mouse models,,,,,
Sex Differences in an Fmr1 Knock-out Mouse Model of Fragile X Syndrome,armstrong,2020,experiment,FMR1,,,x,,xci,,fragile x,,,Fmr1 knockout mice,,,,,
Dynamic mechanisms of Xist RNA localization in female lymphocytes: A new form of X-chromosome Inactivation maintenance,anguera,2018,study,,,,x,,xci,lymphocytes,"immune response, autoimmune disease",,,xci mechanic,,,,,come back to this
An XY sex chromosome complement in females confers susceptibility and rupture of angiotensin II-induced abdominal aortic aneurysms in hypercholesterolemic female mice,alsiraj,2016,experiment,XY chromosome,,,x,,xy complementation,,AngII-induced abdominal aortic aneurysms,,,mouse knockout models; injection with testosterone; DNA microarrays,,,,,
ARHGEF9 disease,alber,2017,study,ARHGEF9,,,,,"gene mutation, chromosomal disruptions, xci",,neurological,,,18 patient study,,,,,
Study of the Female Sex Survival Advantage in Melanoma-A Focus on X-Linked Epigenetic Regulators and Immune Responses in Two Cohorts,al emran,2020,study,"KDM6A, ATRX, KDM5C, DDX3X",,,x,,"xci, differential gene expression",,"melanoma, cancer",,,"survival and interaction analysis on skin cutaneous melanoma cohor (TCGA), high v low expression of four genes",,,,,
"Multiscale analysis of SRY-positive 46,XX testicular disorder of sex development: Presentation of nine cases",alkar,2020,study,,,,,,gene translocation,,"46, XX testicular disorder of sex development",,,clinical findings of six patients with disorder,,,,,
The impact of sex on gene expression across human tissues,aguet,2020,analysis,,x,,x,,"differential gene expression, xci",,,,,gtex analysis for sex differences in gene expression; different tissue,,,,,come back to this
"Genetic screening of C2399A SNP associated with the XPNPEP2 gene in South African hypertensive, ACE inhibitor induced angioedema in patients and controls",stark,2009,study,C2399A,,,,,potential lyonization,,angiodema,,,"patient studies, blood samples",angiotensin converting enzyme inhibitors,x,,,
"Creative alternatives to diploid gene expression. Sex and Gene Expression, Graylyn Conference Center, Wake Forest University, Winston-Salem, NC, USA, 2-5 March 2000",schacter,2000,,,,,,,,,,,,,,,,,
Rethinking sex determination of non-gonadal tissues,arnold,2019,oped,,,,x,,sex determination,,,,,,,,,,
Non-Canonical and Sexually Dimorphic X Dosage Compensation States in the Mouse and Human Germline,sangrithi,2017,,,,,,,germline dosage compensation,mouse and human germ cells; ohno's hypothesis,,,,,,,,,
Reduced bone formation in males and increased bone resorption in females drive bone loss in hemophilia A mice,neale weitzmann,2019,experiment,,,,x,,bone accretion,,"hemophilia A, osteoporosis",,,skeleton phenotyping of f8 knockout mice with severe HA,,,,,
Do X chromosomes set boundaries?,percec,2002,,,,,,,,,,,,,,,,,
Mapping of a further locus for X-linked craniofrontonasal syndrome,wieland,2002,analysis,CFNS locus on Xp22,,,not significant (surprising),,"xci, metabolic interference, exci",,craniofrontonasal syndrome,,,halotype analysis,,,,,
"TFOS DEWS II Sex, Gender, and Hormones Report",sullivan,2017,subcommittee report (review),,,,x,,"hormones, chromosomes",,dry eye disease,,,,,,,,
Implications for the use of X-chromosome inactivation patterns and their relevance to the myeloproliferative disorders,gilbert,1998,,,,,,,,,,,,,,,,,
The single active X in human cells: Evolutionary tinkering personified,migeon,2011,hypothesis proposal,,,mammals,,,,,dosage compensation,,,,,,,,focusing on the activated x versus the inactivated one
Does genotypic sex have a direct effect on longevity?,smith,1989,,,,,x,,x reactivation,,longevity,,,,,,,,
